"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","poor","Bank","area.ratio",0.126722222222222,0.0198932609208586,0.129,0.067,0.155,18
"AF","poor","Bank","area.sd",120.907388888889,107.011556494745,89.2825,5.075,342.851,18
"AF","poor","Bank","area.sum",830.326222222222,720.265581125344,578.755,110.8,2640.279,18
"AF","poor","Bank","n",9.11111111111111,5.64528839349697,8.5,2,26,18
"AF","poor","Bank","perim.area.ratio",2.57155555555556,1.41377143598342,2.3965,0.97,6.158,18
"AF","poor","Bank","perim.mean",233.710444444444,203.749003031043,161.69,32.06,749.6,18
"AF","poor","Bank","perim.med",213.389611111111,271.744898539949,77.2,18.4,1012.212,18
"AF","poor","Bank","perim.sd",176.249222222222,142.253067219927,149.229,5.374,575.349,18
"AF","poor","Bank","perim.sum",1427.78761111111,695.566101612893,1378.3,490.8,2928.2,18
"AF","poor","Chute","area.mean",17.71,NA,17.71,17.71,17.71,1
"AF","poor","Chute","area.med",17.71,NA,17.71,17.71,17.71,1
"AF","poor","Chute","area.ratio",0.001,NA,0.001,0.001,0.001,1
"AF","poor","Chute","area.sd",NA,NA,NA,Inf,-Inf,0
"AF","poor","Chute","area.sum",17.71,NA,17.71,17.71,17.71,1
"AF","poor","Chute","n",1,NA,1,1,1,1
"AF","poor","Chute","perim.area.ratio",4.314,NA,4.314,4.314,4.314,1
"AF","poor","Chute","perim.mean",76.4,NA,76.4,76.4,76.4,1
"AF","poor","Chute","perim.med",76.4,NA,76.4,76.4,76.4,1
"AF","poor","Chute","perim.sd",NA,NA,NA,Inf,-Inf,0
"AF","poor","Chute","perim.sum",76.4,NA,76.4,76.4,76.4,1
"AF","poor","Glide-Run","area.mean",1913.71816666667,2274.93507443012,721.5575,61.785,7708.732,18
"AF","poor","Glide-Run","area.med",1767.25494444444,2348.44895728029,429.937,50.94,7708.732,18
"AF","poor","Glide-Run","area.ratio",0.420777777777778,0.105182505565917,0.4335,0.235,0.591,18
"AF","poor","Glide-Run","area.sd",1166.72428571429,1579.31249170851,571.6925,19.346,5193.352,14
"AF","poor","Glide-Run","area.sum",3095.24494444444,2986.69183644644,1868.8505,302.41,10378.341,18
"AF","poor","Glide-Run","n",3,2.05798302171011,2.5,1,8,18
"AF","poor","Glide-Run","perim.area.ratio",0.8515,0.636641209325759,0.5735,0.281,2.247,18
"AF","poor","Glide-Run","perim.mean",794.652666666667,776.711191814639,408.3,98.85,2842.823,18
"AF","poor","Glide-Run","perim.med",742.216222222222,811.913341702509,397.65,56.4,2842.823,18
"AF","poor","Glide-Run","perim.sd",364.349571428571,267.077579025189,348.0895,29.039,939.732,14
"AF","poor","Glide-Run","perim.sum",1399.40527777778,727.883624296681,1219.8,522.6,2954.983,18
"AF","poor","Margin Attached Bar","area.mean",162.635833333333,242.776949991805,67.7665,8.916,1001.684,18
"AF","poor","Margin Attached Bar","area.med",83.3835555555556,79.8806108692821,45.495,5.42,281.92,18
"AF","poor","Margin Attached Bar","area.ratio",0.169277777777778,0.0394712189345985,0.1675,0.104,0.271,18
"AF","poor","Margin Attached Bar","area.sd",186.897833333333,320.112302071384,66.011,8.412,1306.781,18
"AF","poor","Margin Attached Bar","area.sum",1206.76288888889,1310.56559409852,662.3,133.04,5008.419,18
"AF","poor","Margin Attached Bar","n",10.5,4.48854751824345,11,5,22,18
"AF","poor","Margin Attached Bar","perim.area.ratio",1.71144444444444,1.2152608154932,1.508,0.489,5.155,18
"AF","poor","Margin Attached Bar","perim.mean",139.634722222222,111.80583647809,112.55,37.133,489.96,18
"AF","poor","Margin Attached Bar","perim.med",104.666666666667,79.6633726450021,86.5,30.5,349,18
"AF","poor","Margin Attached Bar","perim.sd",125.050666666667,128.524491533257,82.579,29.993,555.793,18
